2021-08-14 09:15:19 status half-installed login:arm64 1:4.8.1-1ubuntu5
2021-08-14 09:15:19 status unpacked login:arm64 1:4.8.1-1ubuntu5
2021-08-14 09:15:20 install logsave:arm64 <none> 1.45.5-2ubuntu1
2021-08-14 09:15:20 status half-installed logsave:arm64 1.45.5-2ubuntu1
2021-08-14 09:15:20 status unpacked logsave:arm64 1.45.5-2ubuntu1
2021-08-14 09:15:20 install lsb-base:all <none> 11.1.0ubuntu2
2021-08-14 09:15:20 status half-installed lsb-base:all 11.1.0ubuntu2
2021-08-14 09:15:20 status unpacked lsb-base:all 11.1.0ubuntu2
2021-08-14 09:15:20 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2021-08-14 09:15:20 status half-configured mawk:arm64 1.3.4.20200120-2
2021-08-14 09:15:20 status unpacked mawk:arm64 1.3.4.20200120-2
2021-08-14 09:15:20 status half-installed mawk:arm64 1.3.4.20200120-2
2021-08-14 09:15:21 status unpacked mawk:arm64 1.3.4.20200120-2
2021-08-14 09:15:21 install mount:arm64 <none> 2.34-0.1ubuntu9
2021-08-14 09:15:21 status half-installed mount:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:21 status unpacked mount:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:21 install ncurses-base:all <none> 6.2-0ubuntu2
2021-08-14 09:15:21 status half-installed ncurses-base:all 6.2-0ubuntu2
2021-08-14 09:15:21 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-08-14 09:15:22 install ncurses-bin:arm64 <none> 6.2-0ubuntu2
2021-08-14 09:15:22 status half-installed ncurses-bin:arm64 6.2-0ubuntu2
2021-08-14 09:15:22 status unpacked ncurses-bin:arm64 6.2-0ubuntu2
2021-08-14 09:15:22 install passwd:arm64 <none> 1:4.8.1-1ubuntu5
2021-08-14 09:15:22 status half-installed passwd:arm64 1:4.8.1-1ubuntu5
2021-08-14 09:15:23 status unpacked passwd:arm64 1:4.8.1-1ubuntu5
2021-08-14 09:15:23 upgrade perl-base:arm64 5.30.0-9build1 5.30.0-9build1
2021-08-14 09:15:23 status half-configured perl-base:arm64 5.30.0-9build1
2021-08-14 09:15:23 status unpacked perl-base:arm64 5.30.0-9build1
2021-08-14 09:15:23 status half-installed perl-base:arm64 5.30.0-9build1
2021-08-14 09:15:25 status unpacked perl-base:arm64 5.30.0-9build1
2021-08-14 09:15:26 install procps:arm64 <none> 2:3.3.16-1ubuntu2
2021-08-14 09:15:26 status half-installed procps:arm64 2:3.3.16-1ubuntu2
2021-08-14 09:15:26 status unpacked procps:arm64 2:3.3.16-1ubuntu2
2021-08-14 09:15:26 install sed:arm64 <none> 4.7-1
2021-08-14 09:15:26 status half-installed sed:arm64 4.7-1
2021-08-14 09:15:26 status unpacked sed:arm64 4.7-1
2021-08-14 09:15:27 install sensible-utils:all <none> 0.0.12+nmu1
2021-08-14 09:15:27 status half-installed sensible-utils:all 0.0.12+nmu1
2021-08-14 09:15:27 status unpacked sensible-utils:all 0.0.12+nmu1
2021-08-14 09:15:27 install sysvinit-utils:arm64 <none> 2.96-2.1ubuntu1
2021-08-14 09:15:27 status half-installed sysvinit-utils:arm64 2.96-2.1ubuntu1
2021-08-14 09:15:27 status unpacked sysvinit-utils:arm64 2.96-2.1ubuntu1
2021-08-14 09:15:27 install tar:arm64 <none> 1.30+dfsg-7
2021-08-14 09:15:27 status half-installed tar:arm64 1.30+dfsg-7
2021-08-14 09:15:27 status unpacked tar:arm64 1.30+dfsg-7
2021-08-14 09:15:28 install util-linux:arm64 <none> 2.34-0.1ubuntu9
2021-08-14 09:15:28 status half-installed util-linux:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:29 status unpacked util-linux:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:29 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu1
2021-08-14 09:15:29 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2021-08-14 09:15:29 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2021-08-14 09:15:29 startup packages configure
2021-08-14 09:15:29 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-08-14 09:15:29 status unpacked lsb-base:all 11.1.0ubuntu2
2021-08-14 09:15:29 status half-configured lsb-base:all 11.1.0ubuntu2
2021-08-14 09:15:30 status installed lsb-base:all 11.1.0ubuntu2
2021-08-14 09:15:30 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2021-08-14 09:15:30 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-14 09:15:30 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-14 09:15:30 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-14 09:15:30 configure libsemanage-common:all 3.0-1build2 <none>
2021-08-14 09:15:30 status unpacked libsemanage-common:all 3.0-1build2
2021-08-14 09:15:30 status half-configured libsemanage-common:all 3.0-1build2
2021-08-14 09:15:30 status installed libsemanage-common:all 3.0-1build2
2021-08-14 09:15:30 configure gcc-10-base:arm64 10-20200411-0ubuntu1 <none>
2021-08-14 09:15:30 status unpacked gcc-10-base:arm64 10-20200411-0ubuntu1
2021-08-14 09:15:30 status half-configured gcc-10-base:arm64 10-20200411-0ubuntu1
2021-08-14 09:15:30 status installed gcc-10-base:arm64 10-20200411-0ubuntu1
2021-08-14 09:15:30 configure ncurses-base:all 6.2-0ubuntu2 <none>
2021-08-14 09:15:30 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-08-14 09:15:30 status half-configured ncurses-base:all 6.2-0ubuntu2
2021-08-14 09:15:30 status installed ncurses-base:all 6.2-0ubuntu2
2021-08-14 09:15:30 configure sensible-utils:all 0.0.12+nmu1 <none>
2021-08-14 09:15:30 status unpacked sensible-utils:all 0.0.12+nmu1
2021-08-14 09:15:30 status half-configured sensible-utils:all 0.0.12+nmu1
2021-08-14 09:15:30 status installed sensible-utils:all 0.0.12+nmu1
2021-08-14 09:15:30 configure libcrypt1:arm64 1:4.4.10-10ubuntu4 <none>
2021-08-14 09:15:30 status unpacked libcrypt1:arm64 1:4.4.10-10ubuntu4
2021-08-14 09:15:30 status half-configured libcrypt1:arm64 1:4.4.10-10ubuntu4
